sample,Hash,nReads
SK_Al_1_Jul_A_r5,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,336
SK_Al_1_Jul_A_r5,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,2939
SK_Al_1_Jul_A_r5,7a57c9dbd7b24dce9db21f770aa8a31dab53051b,7993
SK_Al_1_Jul_A_r5,9c1b08211a76599faa4a6763b8c564f85d586b36,909
SK_Al_1_Jul_A_r5,43c50ccbfbcc8a542c69a481e4967592987f6133,986
SK_Al_1_Jul_A_r5,f1e30f6bee6f562594421f929f343cb2dacd2dee,2620
SK_Al_1_Jul_A_r5,d8ed22edb9b4c9c2eccdde41cecb635458209e93,905
SK_Al_1_Jul_A_r5,dfd790f9b862e6415cbc236cc53b855a976f1714,410
SK_Al_1_Jul_A_r5,ecedaa3a6ff7757ee381d2cfe14652819c9e843f,1488
SK_Al_1_Jul_A_r5,df7a1a1426dc2c6c721e3f3dab91e4bd375bea8b,967
SK_Al_1_Jul_A_r5,6f98e637735b187cd156c79b8f022a0bc63d5fc5,97
SK_Al_1_Jul_A_r5,e6d54b5769c871de0324a5036c61f08f6ec4ae54,1123
SK_Al_1_Jul_A_r5,c77678ba55303523ebfb97073b6920fb80c7b9db,149
SK_Al_1_Jul_A_r5,58f62c44424a119a1d0f5b707d97c27eb50427a0,235
SK_Al_1_Jul_A_r5,c5c110e01d3238ba797770f43ffac61582905881,1084
SK_Al_1_Jul_A_r5,4b878acce00f9a3d5cdc1f3344ec325a7dd28784,1080
SK_Al_1_Jul_A_r5,5a875fe22da0397c88d64a330e977f8c64d6ab98,264
SK_Al_1_Jul_A_r5,fe741eacccd370d7a3b2a4a7b71e706d023d05ec,465
SK_Al_1_Jul_A_r5,ecbcc3bd709776326a720729ad74c020c160aa3a,136
SK_Al_1_Jul_A_r5,d525996b1ef1fc40898a04f7e01fa150185967e8,182
SK_Al_1_Jul_A_r5,f25e5a2bcf228cabf78df6466d42e0a454dfb898,609
SK_Al_1_Jul_A_r5,1d0feeb28407e7cc72277f0486ab8cef519630d3,5
SK_Al_1_Jul_A_r5,720073f2a5af10d2e7d123f729d78675809d3903,726
SK_Al_1_Jul_A_r5,2d532a421852a0377dbc758ad6085672635fbccf,270
SK_Al_1_Jul_A_r5,54296bbebddfcc0f29b7a7a4c32d61271d864fc1,193
SK_Al_1_Jul_A_r5,267c14223052f6ed4eb4679c52deaaf5db6ddf0f,885
SK_Al_1_Jul_A_r5,d2ccd63eb409e22afe370537feb8790906baeb51,106
SK_Al_1_Jul_A_r5,0ce74050b15681edee10bddb3025bd8cb6702457,76
SK_Al_1_Jul_A_r5,237b10c5a4e852622e815af2fe3f7263bd1d59cb,74
SK_Al_1_Jul_A_r5,29a69200b82ebe89aa08a708c06f767acd778488,283
SK_Al_1_Jul_A_r5,538fbab596ea3b9b760259c4487d6aa0c4be3b2b,64
SK_Al_1_Jul_A_r5,dcce8faf157b176b69823ebb318ef18783852292,689
SK_Al_1_Jul_A_r5,a70bab44796e190d5b81ce48ee3d7b579add02c0,145
SK_Al_1_Jul_A_r5,ac878830e1a33175b38a3d22f827d9c49a1ef2c1,216
SK_Al_1_Jul_A_r5,f480326f0c6c82489d3b525d63ed3f6d1313807f,138
SK_Al_1_Jul_A_r5,505b0c4ae2041d1d51c56dd7fa420d62b3547a3e,44
SK_Al_1_Jul_A_r5,74bd536a982117e99a75e40240e0e3b1b1f81a5c,52
SK_Al_1_Jul_A_r5,b5323475428fda2b0801fbb94df030743a96d0d1,144
SK_Al_1_Jul_A_r5,0049e31d1f1a7dff27221956e97de26867d2b934,315
SK_Al_1_Jul_A_r5,9d7d00cafd683aba8b180cef2841b6d13879d622,88
SK_Al_1_Jul_A_r5,f793be05cf02f6e27bb5e49aa223982352b29749,14
SK_Al_1_Jul_A_r5,96ddb4a301930e1c051919b441ea809bb85dfc5f,209
SK_Al_1_Jul_A_r5,7b93a01bcc49cf03180ed0e7b4db577665ed53f0,118
SK_Al_1_Jul_A_r5,682fc5616896593ec3f5728c85d74deb9ab1be8f,5
SK_Al_1_Jul_A_r5,5b23bdd74572badafd20d53d8f98fc2d6ae8d5ef,66
SK_Al_1_Jul_A_r5,b57949f2759ef72fe986ab28e641f624ddef6661,34
SK_Al_1_Jul_A_r5,d780125a74a2dff77d702279c705d3515c54dd4f,27
SK_Al_1_Jul_A_r5,113f020772fc8096edf034254a31d6d3354e8193,9
SK_Al_1_Jul_A_r5,baa7674925960be46ac2381a8d9d02cf788a1f0e,288
SK_Al_1_Jul_A_r5,d50cafb0675908d68e1a939c8211eb2a22aa2dd7,518
SK_Al_1_Jul_A_r5,179ce671ea3ef78931776bc68ca1ae15cba6c563,63
SK_Al_1_Jul_A_r5,2a384985a8f0c23bf85e35acd99747ca191773e8,303
SK_Al_1_Jul_A_r5,52bec22b1cacf3bd23397237f760005fc78bdfe9,434
SK_Al_1_Jul_A_r5,5846d022f4dc9c22f746488ff272c67a14358bc7,368
SK_Al_1_Jul_A_r5,736a72edd82d2fbbaf5802ee5f6025591a53d4d7,40
SK_Al_1_Jul_A_r5,495dff8f4b9f7978df8ceac03c6811c6179b7a0c,270
SK_Al_1_Jul_A_r5,8843b5d8725155988002c5be58e79373e6c39a11,269
SK_Al_1_Jul_A_r5,d66a7c5c2295c5c2ec8b919493e4c8ae4db1143b,197
SK_Al_1_Jul_A_r5,2a7847b9f5702d6aad1aa8235820aef168a620b8,20
SK_Al_1_Jul_A_r5,c8045315522ef7f034a445ebc84935ad1f3c387e,193
